title	publisher	urls	eIssn	pIssn	subjects	society	empty
Journal of the American Psychiatric Nurses Association	SAGE Publications 	http://jap.sagepub.com 	1532-5725 	1078-3903 	Unknown	American Psychiatric Nurses Association 	
Journal of the American Psychoanalytic Association	SAGE Publications 	http://apa.sagepub.com 	1941-2460 	0003-0651 	Unknown	American Psychiatric Nurses Association  	
Journal of the American Society for Horticultural Science	American Society for Horticultural Science 	http://journal.ashspublications.org 	Unknown	0003-1062 	Unknown	Unknown	
Journal of the American Society of Nephrology	The American Society of Nephrology 	http://jasn.asnjournals.org 	1533-3450 	1046-6673 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Critical Care / Intensive Care Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The American Society of Nephrology 	
Journal of the Geological Society	The Geological Society of London 	http://jgs.geoscienceworld.org 	Unknown	0016-7649 	Unknown	The Geological Society of London 	
Journal of the Geological Society	The Geological Society of London 	http://jgs.lyellcollection.org 	2041-479X 	0016-7649 	Unknown	The Geological Society of London 	
Journal of the History of Collections	Oxford University Press 	http://jhc.oxfordjournals.org 	1477-8564 	0954-6650 	Unknown	Oxford University Press 	
Journal of the History of Medicine and Allied Sciences	Oxford University Press 	http://jhmas.oxfordjournals.org 	1468-4373 	0022-5045 	Unknown	Unknown	
Journal of the ICRU	Oxford University Press 	http://jicru.oxfordjournals.org 	1742-3422 	1473-6691 	Unknown	International Commission on Radiation Units and Measurements 	
Journal of the Institution of Locomotive Engineers	SAGE Publications 	http://jil.sagepub.com 	Unknown	0534-283X 	Unknown	Institution of Mechanical Engineers 	
Journal of the International Association of Physicians in AIDS Care (JIAPAC)	SAGE Publications  	http://jia.sagepub.com 	1557-0886 	1545-1097 	Unknown	International Association of Physicians in AIDS Care 	
Journal of the London Mathematical Society	Oxford University Press 	http://jlms.oxfordjournals.org 	1469-7750 	0024-6107 	Unknown	London Mathematical Society 	
Journal of the National Comprehensive Cancer Network	Harborside Press 	http://www.jnccn.org 	1540-1413 	1540-1405 	Unknown	National Comprehensive Cancer Network 	
Journal of the Pediatric Infectious Diseases Society	Oxford University Press 	http://jpids.oxfordjournals.org 	2048-7207 	2048-7193 	Unknown	Pediatric Infectious Diseases Society 	
Journal of the Renin-Angiotensin-Aldosterone System	SAGE 	http://jra.sagepub.com 	1752-8976 	1470-3203 	Unknown	Unknown	
Journal of The Royal Society Interface	Royal Society Publishing 	http://rsif.royalsocietypublishing.org 	1742-5662 	1742-5689 	Unknown	Royal Society Publishing 	
The Journal of Theological Studies	Oxford University Press 	http://jts.oxfordjournals.org 	1477-4607 	0022-5185 	Unknown	Unknown	
Journal of Theoretical Politics	SAGE Publications 	http://jtp.sagepub.com 	1460-3667 	0951-6298 	Unknown	Unknown	
Journal of Thermoplastic Composite Materials	SAGE Publications 	http://jtc.sagepub.com 	1530-7980 	0892-7057 	Unknown	Unknown	
The Journal of Thoracic and Cardiovascular Surgery	Elsevier Science 	http://jtcs.ctsnetjournals.org 	Unknown	0022-5223 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Critical Care / Intensive Care Dermatology Developmental Biology Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	American Association for Thoracic Surgery 	
Journal of Tissue Engineering	SAGE 	http://tej.sagepub.com 	2041-7314 	Unknown	Unknown	Unknown	
Journal of Topology	Oxford University Press 	http://jtopol.oxfordjournals.org 	1753-8424 	1753-8416 	Unknown	London Mathematical Society 	
Journal of Transcultural Nursing	SAGE Publications 	http://tcn.sagepub.com 	1552-7832 	1043-6596 	Unknown	Transcultural Nursing Society 	
Journal of Transformative Education	SAGE Publications 	http://jtd.sagepub.com 	1552-7840 	1541-3446 	Unknown	Unknown	
Journal of Travel Research	SAGE Publications 	http://jtr.sagepub.com 	1552-6763 	0047-2875 	Unknown	Travel and Tourism Research Association 	
Journal of Tropical Pediatrics	Oxford University Press 	http://tropej.oxfordjournals.org 	1465-3664 	0142-6338 	Unknown	Unknown	
Journal of Ultrasound in Medicine	The American Institute of Ultrasound in Medicine 	http://www.jultrasoundmed.org 	1550-9613 	0278-4297 	Clinical Medicine Medicine Radiology 	The American Institute of Ultrasound in Medicine (AIUM). 	
Journal of Urban History	SAGE Publications 	http://juh.sagepub.com 	1552-6771 	0096-1442 	Unknown	The Urban History Association 	
Journal of Vacation Marketing	SAGE Publications 	http://jvm.sagepub.com 	1479-1870 	1356-7667 	Unknown	SAGE Publications 	
Journal of Veterinary Diagnostic Investigation	SAGE Publications 	http://vdi.sagepub.com 	Unknown	1040-6387 	Unknown	 American Association of Veterinary Laboratory Diagnosticians, Inc. 	
Journal of Vibration and Control	SAGE Publications 	http://jvc.sagepub.com 	1741-2986 	1077-5463 	Unknown	Unknown	
Journal of Virology	American Society for Microbiology  	http://jvi.asm.org 	1098-5514 	0022-538X 	Agriculture Biochemistry Cell Biology Chemistry Developmental Biology Ecology Evolution Genetics Genomics Immunology Infectious Diseases Medicine Microbiology Oncology Pathology Pharmacology Physiology Plant Biology Population Biology Signal Transduction Virology 	American Society for Microbiology  	
Journal of Vision	The Association for Research in Vision and Ophthalmology (ARVO) 	http://www.journalofvision.org 	1534-7362 	Unknown	Unknown	Association for Research in Vision and Ophthalmology (ARVO) 	
Journal of Visual Culture	SAGE Publications 	http://vcu.sagepub.com 	1741-2994 	1470-4129 	Unknown	Unknown	
Journal of Wide Bandgap Materials	SAGE Publications 	http://jwb.sagepub.com 	1530-8081 	1524-511X 	Unknown	Unknown	
Journal of Wildlife Diseases	Wildlife Disease Association 	http://www.jwildlifedis.org 	Unknown	0090-3558 	Unknown	Wildlife Disease Association 	
The Journal of World Energy Law & Business	Oxford University Press 	http://jwelb.oxfordjournals.org 	1754-9965 	1754-9957 	Unknown	The Association of International Petroleum Negotiators 	
Journal Watch AIDS Clinical Care	The Massachusetts Medical Society  	http://aids-clinical-care.jwatch.org 	1537-0844 	1043-1543 	Unknown	The Massachusetts Medical Society  	
Journal Watch Cardiology	The Massachusetts Medical Society 	http://cardiology.jwatch.org 	1533-7839 	1521-5822 	Cardiovascular Medicine and Stroke Clinical Medicine Medicine 	The Massachusetts Medical Society 	
Journal Watch Dermatology	The Massachusetts Medical Society 	http://dermatology.jwatch.org 	1533-7847 	1521-3595 	Clinical Medicine Dermatology Medicine 	The Massachusetts Medical Society 	
Journal Watch Emergency Medicine	The Massachusetts Medical Society 	http://emergency-medicine.jwatch.org 	1533-7952 	1521-6535 	Accident and Emergency Medicine Clinical Medicine Medicine 	The Massachusetts Medical Society 	
Journal Watch Gastroenterology	The Massachusetts Medical Society 	http://gastroenterology.jwatch.org 	1533-7898 	1527-1579 	Clinical Medicine Gastroenterology Medicine 	The Massachusetts Medical Society 	
Journal Watch (General)	The Massachusetts Medical Society 	http://general-medicine.jwatch.org 	1533-7820 	0896-7210 	Clinical Medicine Medicine 	The Massachusetts Medical Society 	
Journal Watch Hospital Medicine	The Massachusetts Medical Society 	http://hospital-medicine.jwatch.org 	Unknown	Unknown	Unknown	The Massachusetts Medical Society 	
Journal Watch Infectious Diseases	The Massachusetts Medical Society 	http://infectious-diseases.jwatch.org 	1533-7871 	1521-3609 	Clinical Medicine Infectious Diseases Medicine 	The Massachusetts Medical Society 	
Journal Watch Neurology	The Massachusetts Medical Society 	http://neurology.jwatch.org 	1533-788X 	1524-0207 	Medicine Neurology Neuroscience 	The Massachusetts Medical Society 	
Journal Watch Oncology and Hematology	The Massachusetts Medical Society  	http://oncology-hematology.jwatch.org 	1938-7768 	1527-1560 	Unknown	The Massachusetts Medical Society  	
Journal Watch Pediatrics and Adolescent Medicine	The Massachusetts Medical Society 	http://pediatrics.jwatch.org 	1538-358X 	1538-3571 	Clinical Medicine Medicine Pediatrics 	The Massachusetts Medical Society 	
Journal Watch Psychiatry	The Massachusetts Medical Society 	http://psychiatry.jwatch.org 	1533-7855 	1521-3617 	Medicine Psychiatry 	The Massachusetts Medical Society 	
Journal Watch Women's Health	The Massachusetts Medical Society 	http://womens-health.jwatch.org 	1533-7944 	1086-9662 	Clinical Medicine Medicine Women's Health 	The Massachusetts Medical Society 	
Journalism	SAGE Publications 	http://jou.sagepub.com 	1741-3001 	1464-8849 	Unknown	Unknown	
Journalism & Communication Monographs	SAGE Publications 	http://jmo.sagepub.com 	2161-4342 	1522-6379 	Unknown	AEJMC 	
Journalism & Mass Communication Educator	SAGE Publications 	http://jmc.sagepub.com 	2161-4326 	1077-6958 	Unknown	AEJMC 	
Journalism & Mass Communication Quarterly	SAGE Publications 	http://jmq.sagepub.com 	2161-430X 	1077-6990 	Unknown	AEJMC 	
JRSM	Royal Society of Medicine Press 	http://jrsm.rsmjournals.com 	1758-1095 	0141-0768 	Medicine Non-clinical Medicine 	Royal Society of Medicine 	
JRSM Cardiovascular Disease	Royal Society of Medicine Press 	http://cvd.rsmjournals.com 	2048-0040 	Unknown	Unknown	Royal Society of Medicine Press 	
JRSM Short Reports	Royal Society of Medicine Press 	http://shortreports.rsmjournals.com 	2042-5333 	Unknown	Unknown	Royal Society of Medicine Press 	
Lab Medicine	American Society for Clinical Pathology 	http://labmed.ascpjournals.org 	1943-7730 	0007-5027 	Unknown	American Society for Clinical Pathology 	
Labor Studies Journal	SAGE Publications 	http://lsj.sagepub.com 	1538-9758 	0160-449X 	Unknown	United Association of Labor Education 	
Labor Studies in Working-Class History of the Americas	Duke University Press 	http://labor.dukejournals.org 	1558-1454 	1547-6715 	Unknown	Unknown	
Laboratory Animals	Royal Society of Medicine Press 	http://la.rsmjournals.com 	Unknown	0023-6772 	Unknown	Laboratory Animals Limited 	
Land Economics	University of Wisconsin Press 	http://le.uwpress.org 	1543-8325 	0023-7639 	Unknown	Unknown	
Landscape Journal	University of Wisconsin Press 	http://lj.uwpress.org 	1553-2704 	0277-2426 	Unknown	Unknown	
Language and Literature	SAGE Publications 	http://lal.sagepub.com 	1461-7293 	0963-9470 	Unknown	Poetics and Linguistics Association 	
Language and Speech	SAGE Publications 	http://las.sagepub.com 	1756-6053 	0023-8309 	Unknown	Unknown	
Language, Speech, and Hearing Services in Schools	American Speech-Language-Hearing Association 	http://lshss.asha.org 	1558-9129 	0161-1461 	Unknown	American Speech-Language-Hearing Association 	
Language Teaching Research	SAGE Publications 	http://ltr.sagepub.com 	1477-0954 	1362-1688 	Unknown	Unknown	
Language Testing	SAGE Publications 	http://ltj.sagepub.com 	1477-0946 	0265-5322 	Unknown	Unknown	
Latin American Perspectives	SAGE Publications 	http://lap.sagepub.com 	1552-678X 	0094-582X 	Unknown	Latin American Perspectives, Inc. 	
Law, Culture and the Humanities	SAGE Publications 	http://lch.sagepub.com 	1743-9752 	1743-8721 	Unknown	Association for the Study of Law, Culture and the Humanities 	
Law, Probability and Risk	Oxford University Press 	http://lpr.oxfordjournals.org 	1470-840X 	1470-8396 	Unknown	Unknown	
Leadership	SAGE Publications 	http://lea.sagepub.com 	1742-7169 	1742-7150 	Unknown	Unknown	
Learning & Memory	Cold Spring Harbor Laboratory Press 	http://learnmem.cshlp.org 	1549-5485 	Unknown	Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Endocrinology Evidence Based Practice Genetics Immunology Medicine Neuroscience Physiology Psychiatry Psychology Radiology 	Cold Spring Harbor Laboratory 	
Learning Disability Quarterly	SAGE Publications 	http://ldq.sagepub.com 	Unknown	0731-9487 	Unknown	Hammill Institute on Disabilities 	
The Leo Baeck Institute Yearbook	Oxford University Press 	http://leobaeck.oxfordjournals.org 	1758-437X 	0075-8744 	Unknown	Leo Baeck Institute 	
The Library	Oxford University Press 	http://library.oxfordjournals.org 	1744-8581 	0024-2160 	Unknown	Bibliographical Society 	
Lighting Research and Technology	SAGE Publications 	http://lrt.sagepub.com 	1477-0938 	1477-1535 	Unknown	The Society of Light and Lighting 	
Literary and Linguistic Computing	Oxford University Press 	http://llc.oxfordjournals.org 	1477-4615 	0268-1145 	Unknown	Unknown	
Literary Imagination	Oxford University Press 	http://litimag.oxfordjournals.org 	1752-6566 	1523-9012 	Unknown	Association of Literary Scholars and Critics 	
Literature and Theology	Oxford University Press 	http://litthe.oxfordjournals.org 	1477-4623 	0269-1205 	Unknown	Oxford University Press 	
Lithosphere	Geological Society of America 	http://lithosphere.gsapubs.org 	1947-4253 	1941-8264 	Unknown	http://www.geosociety.org/ 	
Local Economy	SAGE Publications 	http://lec.sagepub.com 	1470-9325 	0269-0942 	Unknown	Local Economy Policy Unit (LEPU) 	
Logic Journal of IGPL	Oxford University Press 	http://jigpal.oxfordjournals.org 	1368-9894 	1367-0751 	Unknown	Unknown	
Lupus	SAGE Publications 	http://lup.sagepub.com 	1477-0962 	0961-2033 	Unknown	Unknown	
Luso-Brazilian Review	University of Wisconsin Press 	http://lbr.uwpress.org 	1548-9957 	0024-7413 	Unknown	Unknown	
Management & Organizational History	SAGE Publications 	http://moh.sagepub.com 	1744-9367 	1744-9359 	Unknown	Unknown	
