pIssn	eIssn	title	urls	subject	isStm	society	emptyField
1077-727X	1552-3934	FAMILY & CONSUMER SCIENCES RESEARCH JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-3934	Humanities and Social Sciences		American Association of Family and Consumer Sciences (AAFCS)	 
1531-2445	1744-1617	FAMILY COURT REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1617	Law and Criminology		Association of Family and Conciliation Courts	 
0014-7370	1545-5300	FAMILY PROCESS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1545-5300	Humanities and Social Sciences		Family Process Institute	 
0197-6664	1741-3729	FAMILY RELATIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-3729	Humanities and Social Sciences		National Council on Family Relations	 
8756-758X	1460-2695	FATIGUE & FRACTURE OF ENGINEERING MATERIALS AND STRUCTURES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1460-2695	Polymers and Materials Science	STM Collection		 
1742-464X	1742-4658	FEBS JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-4658	Chemistry   	STM Collection	Federation of European Biochemical Societies	 
0014-8962	1522-239X	FEDDES REPERTORIUM	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-239X	Life Sciences	STM Collection		 
1949-3177	1949-3185	FEDERAL GRANTS & CONTRACTS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1949-3185	Humanities and Social Sciences			 
0928-8244	1574-695X	FEMS IMMUNOLOGY & MEDICAL MICROBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-695X	Medical, Veterinary and Health Sciences	STM Collection	Federation of European Microbiological Societies	 
0168-6496	1574-6941	FEMS MICROBIOLOGY ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-6941	Life Sciences	STM Collection	Federation of European Microbiological Societies	 
0378-1097	1574-6968	FEMS MICROBIOLOGY LETTERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-6968	Life Sciences	STM Collection	Federation of European Microbiological Societies	 
0168-6445	1574-6976	FEMS MICROBIOLOGY REVIEWS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-6976	Life Sciences	STM Collection	Federation of European Microbiological Societies	 
1567-1356	1567-1364	FEMS YEAST RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1567-1364	Life Sciences	STM Collection	Federation of European Microbiological Societies	 
0267-4424	1468-0408	FINANCIAL ACCOUNTABILITY & MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0408	Business, Economics, Finance and Accounting    			 
0046-3892	1755-053X	FINANCIAL MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-053X	Business, Economics, Finance and Accounting    		Financial Management Association International	 
0963-8008	1468-0416	FINANCIAL MARKETS, INSTITUTIONS & INSTRUMENTS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0416	Business, Economics, Finance and Accounting    			 
0732-8516	1540-6288	FINANCIAL REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6288	Business, Economics, Finance and Accounting    		Eastern Finance Association	 
0308-0501	1099-1018	FIRE AND MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1018	Engineering 	STM Collection		 
0143-5671	1475-5890	FISCAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-5890	Business, Economics, Finance and Accounting    		Institute for Fiscal Studies	 
1467-2960	1467-2979	FISH AND FISHERIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-2979	Earth and Environmental Science	STM Collection		 
0969-997X	1365-2400	FISHERIES MANAGEMENT & ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2400	Earth and Environmental Science	STM Collection		 
1054-6006	1365-2419	FISHERIES OCEANOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2419	Earth and Environmental Science	STM Collection	Japanese Society for Fisheries Oceanography	 
0882-5734	1099-1026	FLAVOUR AND FRAGRANCE JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1026	Chemistry   	STM Collection		 
1465-3753	2042-7166	FOCUS ON ALTERNATIVE AND COMPLEMENTARY THERAPIES AN EVIDENCE-BASED APPROACH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2042-7166	Medical, Veterinary and Health Sciences	STM Collection	Royal Pharmaceutical Society	 
1549-4934	1949-8535	FOCUS ON GEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1949-8535	Humanities and Social Sciences		American Geographical Society (AGS)	 
1092-7514	Print Only	FOOD QUALITY	Print Only	Chemistry			 
0015-718X	1944-9720	FOREIGN LANGUAGE ANNALS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1944-9720	Humanities and Social Sciences		American Council on the Teaching of Foreign Languages	 
1743-8586	1743-8594	FOREIGN POLICY ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-8594	Humanities and Social Sciences		International Studies Association	 
1437-4781	1439-0329	FOREST PATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0329	Life Sciences	STM Collection		 
0172-1518	1522-2357	FORSCHUNG	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2357	Life Sciences	STM Collection	Deutsche Forschungsgemeinschaft	 
0015-8208	1521-3978	FORTSCHRITTE DER PHYSIK/PROGRESS OF PHYSICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3978	Physics and Astronomy	STM Collection		 
1435-1943	1860-1014	FOSSIL RECORD-MITTEILUNGEN AUS DEM MUSEUM FUER  NATURKUNDE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-1014	Life Sciences	STM Collection	Museum für Naturkunde	 
0046-5070	1365-2427	FRESHWATER BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2427	Life Sciences	STM Collection		 
1615-6846	1615-6854	FUEL CELLS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-6854	Chemistry   	STM Collection		 
0269-8463	1365-2435	FUNCTIONAL ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2435	Life Sciences	STM Collection	British Ecological Society	 
0767-3981	1472-8206	FUNDAMENTAL & CLINICAL PHARMACOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1472-8206	Medical, Veterinary and Health Sciences	STM Collection	Société Française de Pharmacologie et de Thérapeutique	 
1468-9871	1931-2261	FUTURE PRESCRIBER	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1931-2261	Medical, Veterinary and Health Sciences	STM Collection		 
0936-7195	1522-2608	GAMM - MITTEILUNGEN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2608	Mathematics and Statistics	STM Collection	Gesellschaft für Angewandte Mathematik und Mechanik	 
1757-1693	1757-1707	GCB BIOENERGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1757-1707	Life Sciences	STM Collection		 
0953-5233	1468-0424	GENDER & HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0424	Humanities and Social Sciences			 
0968-6673	1468-0432	GENDER, WORK & ORGANISATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0432	Humanities and Social Sciences			 
1537-1727	1939-3466	GENERAL ANTHROPOLOGY BULLETIN OF THE GENERAL ANTHROPOLOGY DIVISION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-3466	Humanities and Social Sciences		American Anthropological Association	 
1356-9597	1365-2443	GENES TO CELLS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2443	Life Sciences	STM Collection	Molecular Biology Society of Japan	 
1601-1848	1601-183X	GENES, BRAIN AND BEHAVIOR	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1601-183X	Life Sciences	STM Collection	International Behavioural and Neural Genetics Society	 
1045-2257	1098-2264	GENES, CHROMOSOMES AND CANCER	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2264	Medical, Veterinary and Health Sciences	STM Collection		 
1526-954X	1526-968X	GENESIS: THE JOURNAL OF GENETICS AND DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-968X	Life Sciences	STM Collection		 
0741-0395	1098-2272	GENETIC EPIDEMIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2272	Life Sciences	STM Collection		 
0883-6353	1520-6548	GEOARCHAEOLOGY: AN INTERNATIONAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6548	Earth and Environmental Science	STM Collection		 
1472-4677	1472-4669	GEOBIOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1472-4669	Earth and Environmental Science	STM Collection		 
1468-8115	1468-8123	GEOFLUIDS (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-8123	Earth and Environmental Science	STM Collection		 
0435-3676	1468-0459	GEOGRAFISKA ANNALER SERIES A: PHYSICAL GEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0459	Humanities and Social Sciences		Swedish Society for Anthropology and Geography	 
0435-3684	1468-0467	GEOGRAFISKA ANNALER SERIES B: HUMAN GEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0467	Humanities and Social Sciences		Swedish Society for Anthropology and Geography	 
0016-7363	1538-4632	GEOGRAPHICAL ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1538-4632	Humanities and Social Sciences		Ohio State University (OSU)	 
1745-5863	1745-5871	GEOGRAPHICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-5871	Humanities and Social Sciences		Institute of Australian Geographers Inc.	 
0016-7428	1931-0846	GEOGRAPHICAL REVIEW	http://onlinelibrary.wiley.com/journal/10.1001/(ISSN)1931-0846	Humanities and Social Sciences		American Geographical Society (AGS)	 
E-only title	1749-8198	GEOGRAPHY COMPASS (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-8198	Humanities and Social Sciences			 
0072-1050	1099-1034	GEOLOGICAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1034	Earth and Environmental Science	STM Collection		 
0266-6979	1365-2451	GEOLOGY TODAY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2451	Earth and Environmental Science	STM Collection	Geologists' Association	 
1865-7362	1865-7389	GEOMECHANICS AND TUNNELLING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1865-7389	Engineering 	STM Collection	Osterreichische Gesellschaft fur Geomechanik	 
0956-540X	1365-246X	GEOPHYSICAL JOURNAL INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-246X	Earth and Environmental Science	STM Collection	Royal Astronomical Society	 
0016-8025	1365-2478	GEOPHYSICAL PROSPECTING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2478	Earth and Environmental Science	STM Collection	European Association of Geoscientists & Engineers	 
1639-4488	1751-908X	GEOSTANDARDS & GEOANALYTICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-908X	Earth and Environmental Science	STM Collection	International Association of Geoanalysts	 
0172-6145	2190-6653	GEOTECHNIK	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2190-6653	Engineering 	STM Collection	Deutsche Gesellschaft fur Geotechnik e V	 
1444-1586	1447-0594	GERIATRICS & GERONTOLOGY INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0594	Medical, Veterinary and Health Sciences	STM Collection	Japanese Geriatrics Society	 
1465-6485	1468-0475	GERMAN ECONOMIC REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0475	Business, Economics, Finance and Accounting    		German Economic Association (Verein für Socialpolitik)	 
0016-8777	1468-0483	GERMAN LIFE AND LETTERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0483	Humanities and Social Sciences		Editorial Board	 
0172-1526	1522-2322	GERMAN RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2322	Life Sciences	STM Collection	Deutsche Forschungsgemeinschaft	 
0734-0664	1741-2358	GERODONTOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-2358	Medical, Veterinary and Health Sciences	STM Collection	British Society of Gerodontology	 
0894-1491	1098-1136	GLIA	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1136	Life Sciences	STM Collection		 
1932-2054	1932-2062	GLOBAL BUSINESS AND ORGANIZATIONAL EXCELLENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-2062	Business, Economics, Finance and Accounting    			 
1354-1013	1365-2486	GLOBAL CHANGE BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2486	Life Sciences	STM Collection		 
1466-822X	1466-8238	GLOBAL ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1466-8238	Life Sciences	STM Collection		 
1470-2266	1471-0374	GLOBAL NETWORKS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-0374	Humanities and Social Sciences		Editorial Board	 
1758-5880	1758-5899	GLOBAL POLICY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-5899	Humanities and Social Sciences		London School of Economics (LNSE)	 
2042-5791	2042-5805	GLOBAL STRATEGY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2042-5805	Humanities and Social Sciences		Strategic Management Society	 
0952-1895	1468-0491	GOVERNANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0491	Humanities and Social Sciences		IPSA Research Committee on the Structure and Organization of Government	 
0017-257X	1477-7053	GOVERNMENT AND OPPOSITION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1477-7053	Humanities and Social Sciences		Government and Opposition Ltd (GO)	 
0142-5242	1365-2494	GRASS & FORAGE SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2494	Earth and Environmental Science	STM Collection	British Grassland Society	 
1744-6961	1744-697X	GRASSLAND SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-697X	Earth and Environmental Science	STM Collection	Japanese Society of Grassland Science	 
E-only title	2152-3878	GREENHOUSE GASES: SCIENCE AND TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2152-3878	Earth and Environmental Science		Society of Chemical Industry	 
0017-467X	1745-6584	GROUND WATER	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-6584	Engineering 	STM Collection	National Ground Water Association	 
1069-3629	1745-6592	GROUND WATER MONITORING & REMEDIATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-6592	Engineering 	STM Collection	National Ground Water Association	 
0017-4815	1468-2257	GROWTH AND CHANGE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2257	Humanities and Social Sciences		Centre for Business and Economic Research (CBER)	 
1351-8216	1365-2516	HAEMOPHILIA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2516	Medical, Veterinary and Health Sciences	STM Collection	World Federation of Hemophilia	 
0093-0334	1552-146X	HASTINGS CENTER REPORT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-146X	Humanities and Social Sciences		The Hastings Center (HC)	 
1043-3074	1097-0347	HEAD & NECK: JOURNAL FOR THE SCIENCES &  SPECIALTIES OF THE HEAD AND NECK	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0347	Medical, Veterinary and Health Sciences	STM Collection		 
0017-8748	1526-4610	HEADACHE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1526-4610	Medical, Veterinary and Health Sciences	STM Collection	American Headache Society	 
0966-0410	1365-2524	HEALTH & SOCIAL CARE IN THE COMMUNITY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2524	Medical, Veterinary and Health Sciences	STM Collection		 
1057-9230	1099-1050	HEALTH ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1050	Medical, Veterinary and Health Sciences			 
1369-6513	1369-7625	HEALTH EXPECTATIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-7625	Medical, Veterinary and Health Sciences	STM Collection		 
1471-1834	1471-1842	HEALTH INFORMATION & LIBRARIES JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-1842	Medical, Veterinary and Health Sciences	STM Collection	Health Libraries Group of the Library Association	 
0017-9124	1475-6773	HEALTH SERVICES RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-6773	Medical, Veterinary and Health Sciences		Health Research and Educational Trust	 
1099-2871	1523-1496	HEAT TRANSFER - ASIAN RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1523-1496	Engineering 	STM Collection		 
1083-4389	1523-5378	HELICOBACTER (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-5378	Medical, Veterinary and Health Sciences	STM Collection		 
0018-019X	1522-2675	HELVETICA CHIMICA ACTA	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2675	Chemistry   	STM Collection	Swiss Chemical Society	 
0278-0232	1099-1069	HEMATOLOGICAL ONCOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1069	Medical, Veterinary and Health Sciences	STM Collection		 
1492-7535	1542-4758	HEMODIALYSIS INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-4758	Medical, Veterinary and Health Sciences	STM Collection	International Society for Hemodialysis	 
0270-9139	1527-3350	HEPATOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-3350	Medical, Veterinary and Health Sciences	STM Collection	American Association for the Study of Liver Diseases	 
1386-6346	1872-034X	HEPATOLOGY RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1872-034X	Medical, Veterinary and Health Sciences	STM Collection	Japan Society of Hepatology	 
1042-7163	1098-1071	HETEROATOM CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1071	Chemistry   	STM Collection		 
0748-4364	2150-1092	HIGHER EDUCATION ABSTRACTS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2150-1092	Humanities and Social Sciences			 
1944-4478	1944-4486	HIGHER EDUCATION FERPA BULLETIN	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1944-4486	Education			 
0951-5224	1468-2273	HIGHER EDUCATION QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2273	Education		Society for Research into Higher Education	 
1050-9631	1098-1063	HIPPOCAMPUS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1063	Life Sciences	STM Collection		 
0309-0167	1365-2559	HISTOPATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2559	Medical, Veterinary and Health Sciences	STM Collection	British Division of the International Academy of Pathology	 
0950-3471	1468-2281	HISTORICAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2281	Humanities and Social Sciences		Institute of Historical Research, University of London	 
0018-2648	1468-229X	HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-229X	Humanities and Social Sciences		Historical Association	 
0018-2656	1468-2303	HISTORY AND THEORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2303	Humanities and Social Sciences		Wesleyan University (WESLEYAN)	 
E-only title	1478-0542	HISTORY COMPASS (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-0542	Humanities and Social Sciences			 
0018-2680	1748-5959	HISTORY OF EDUCATION QUARTERLY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-5959	Humanities and Social Sciences		History of Education Society	 
1464-2662	1468-1293	HIV MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-1293	Medical, Veterinary and Health Sciences	STM Collection	British HIV Association	 
1365-182X	1477-2574	HPB	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1477-2574	Medical, Veterinary and Health Sciences	STM Collection	American Hepato Pancreato Biliary Association	 
