object	size
journalBytes:Netherlands Heart Journal	2021949
journalBytes:The Journal of General Virology	8098282
journalBytes:JSLS : Journal of the Society of Laparoendoscopic Surgeons	26349576
journalFiles:Health Care Management Science	10
journalFiles:Breast Cancer Research : BCR	2678
journalFiles:American Journal of Human Genetics	19
journalFiles:Journal of Biological Rhythms	4
journalFiles:Cutaneous and Ocular Toxicology	4
journalBytes:BMC Physiology	15696399
journalBytes:Journal of Clinical Immunology	2003214
journalBytes:BMC Research Notes	194093848
journalFiles:Evolutionary Biology	11
journalBytes:Annals of Indian Academy of Neurology	8328435
journalFiles:Clinical Neurophysiology	7
journalFiles:Journal of Clinical Virology	5
journalFiles:The American Sociologist	3
journalFiles:The Journal of Heart and Lung Transplantation	1
journalBytes:Critical Reviews in Environmental Science and Technology	109312
journalBytes:The Journal of Maternal-Fetal & Neonatal Medicine	212875
journalFiles:Journal of Nanobiotechnology	290
journalFiles:Leukemia & Lymphoma	14
journalBytes:CPT: Pharmacometrics & Systems Pharmacology	296013
journalFiles:Acupuncture in Medicine	7
journalFiles:BMC Psychiatry	1564
journalBytes:Journal of Cardiovascular Magnetic Resonance	22287292
journalBytes:Energy & Fuels	21140
journalFiles:Cerebral Cortex (New York, NY)	444
journalBytes:The Journal of Physiological Sciences 	32610
journalBytes:Briefings in Bioinformatics	1263994
journalBytes:BMC International Health and Human Rights	11079373
journalFiles:Sexual Development	1
journalFiles:Cerebrum: the Dana Forum on Brain Science	45
journalFiles:European Journal of Dental Education	1
journalFiles:Journal of Periodontal & Implant Science	147
journalFiles:International Journal of Cardiology	5
journalBytes:Behavior Genetics	3212625
journalBytes:Colorectal Disease	155145
journalFiles:Source Code for Biology and Medicine	119
journalBytes:Tetrahedron	343467
journalFiles:Xenobiotica; the Fate of Foreign Compounds in Biological Systems	3
journalFiles:BMC Neuroscience	2424
journalFiles:Journal of Anaesthesiology, Clinical Pharmacology	434
journalFiles:In Vitro Cellular & Developmental Biology. Animal	22
journalBytes:International Journal of Psychophysiology	331019
journalBytes:Plant Biotechnology Reports	230025
journalFiles:Transplant Immunology	1
journalBytes:Pituitary	1214555
journalFiles:Acta Naturae	162
journalFiles:Human Brain Mapping	26
journalBytes:Biological Trace Element Research	1384939
journalBytes:Biomolecular Nmr Assignments	314357
journalFiles:International Journal of Pediatric Endocrinology	149
journalBytes:International Journal of Hematology	732536
journalBytes:Anatomy Research International	1807651
articleTypeFiles:news	3289
journalBytes:Crystal Growth & Design	520061
journalFiles:Attention Deficit and Hyperactivity Disorders	10
journalBytes:Environmental Health Insights	2053642
journalBytes:Acupuncture in Medicine	230595
journalFiles:Frontiers in plant science	277
journalBytes:Journal of Evolutionary Biology	734795
journalFiles:Fibrogenesis & Tissue Repair	122
journalFiles:Journal of Cachexia, Sarcopenia and Muscle	50
journalBytes:Pathology International	68615
journalBytes:Postgraduate Medical Journal	157724
journalFiles:AoB Plants	106
mimeTypeBytes:application/vnd.ms-excel	10896238491
journalBytes:Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology	6582886
journalFiles:Scandinavian Journal of Public Health	1
journalBytes:Journal of Experimental & Clinical Cancer Research : CR	35005909
journalFiles:Neurobiology of Learning and Memory	1
journalFiles:European Journal of Plastic Surgery	23
journalFiles:Water Quality, Exposure, and Health	1
journalBytes:European Urology	33937
journalFiles:PLoS Biology	8798
journalBytes:Journal of Industrial Microbiology & Biotechnology	444014
journalBytes:ISRN Surgery	2485373
journalBytes:Journal of Gynecologic Oncology	2529317
journalFiles:Drug Target Insights	38
journalBytes:Memory & Cognition	781803
journalBytes:European Radiology	7578581
journalFiles:International Journal of Psychiatry in Clinical Practice	1
journalBytes:Neuroethics	494141
journalFiles:International Journal of Trichology	156
journalFiles:Cardiovascular and Interventional Radiology	65
journalFiles:Drug Discovery Today. Disease Models	1
journalFiles:Advances in Urology	276
journalFiles:Journal of Advanced Nursing	18
journalFiles:Analytica Chimica Acta	1
journalBytes:Hepatology International	1312753
journalBytes:Journal of Skin Cancer	2899026
journalBytes:Tuberculosis (Edinburgh, Scotland)	335751
journalBytes:Frontiers in Systems Neuroscience	16910411
journalFiles:Scandinavian Journal of Rheumatology	1
journalFiles:Neuroscience	52
journalFiles:American Journal of Hematology	7
journalBytes:Journal of Toxicology and Environmental Health. Part a	160546
journalFiles:Journal of blood medicine	41
journalFiles:BMC Cancer	5595
journalFiles:Applied Mathematics and Computation	1
journalBytes:Culture, Medicine and Psychiatry	1239927
journalBytes:Medical Journal of the Islamic Republic of Iran	845100
journalFiles:Advances in Cognitive Psychology	95
journalBytes:Experimental Hematology	223390
journalFiles:Molecular therapy. Nucleic acids	59
journalBytes:International Journal of Inflammation	4634420
journalFiles:Annals of Indian Academy of Neurology	465
journalBytes:The American Journal of Psychiatry	247509
journalBytes:Neuro-Degenerative Diseases	33606
journalBytes:Infection and drug resistance	1821037
journalFiles:Inflammation Research	32
journalFiles:Biological Cybernetics	14
journalBytes:Human Brain Mapping	1241924
journalFiles:Infant, Child & Adolescent Nutrition	1
journalBytes:CNS Neuroscience & Therapeutics	511612
journalFiles:Obesity Reviews	11
journalBytes:Contemporary Clinical Dentistry	4758359
journalFiles:European Journal of Cardiovascular Nursing	1
journalFiles:Clinical Medicine Insights. Case Reports	65
journalFiles:Crystal Growth & Design	13
journalFiles:Journal of Cutaneous and Aesthetic Surgery	240
journalFiles:Cases Journal	1590
journalBytes:ACS Medicinal Chemistry Letters	1241244
journalBytes:The open cardiovascular medicine journal	125188
journalFiles:European Archives of Oto-Rhino-Laryngology	113
journalBytes:Neuropeptides	110695
journalFiles:Experimental Dermatology	4
journalBytes:Birth Defects Research. Part B, Developmental and Reproductive Toxicology	357250
journalFiles:Anemia	68
journalFiles:Experimental and Therapeutic Medicine	248
journalBytes:Science and Engineering Ethics	1389486
journalBytes:Quarterly Reviews of Biophysics	326960
journalBytes:The Journal of Organic Chemistry	1797245
journalBytes:Early Human Development	224468
journalBytes:Journal De Mathematiques Pures et Appliquees	17776
journalFiles:APSP Journal of Case Reports	82
journalBytes:Medical Devices (Auckland, N.Z.)	2149890
journalBytes:Journal of the American Geriatrics Society	130811
journalFiles:Computers & Graphics	2
journalFiles:Videosurgery and Other Miniinvasive Techniques	64
journalFiles:Angewandte Chemie (International Ed. in English)	154
journalBytes:BMC Proceedings	26272744
journalFiles:Journal of inflammation research	26
pmidCount_1971	937
journalBytes:Neurotoxicity Research	1523352
journalBytes:Sports Medicine (Auckland, N.z.)	76983
journalBytes:Social Psychiatry and Psychiatric Epidemiology	2471174
pmidCount_1975	1221
journalFiles:Chemical Physics Letters	4
journalFiles:Journal of Neurosciences in Rural Practice	311
journalFiles:Advances in Orthopedics	85
journalBytes:The Journal of Ecology	333515
journalBytes:Discrete Applied Mathematics	34901
journalBytes:Development Genes and Evolution	1892920
journalFiles:Clinical ophthalmology (Auckland, N.Z.)	232
journalBytes:Biology & Philosophy	815476
journalBytes:Journal of Experimental Psychology. General	338453
journalBytes:Hemoglobin	19233
journalFiles:Journal of Experimental & Clinical Assisted Reproduction	49
journalFiles:Cancer Causes & Control 	42
journalBytes:Journal of Neuroinflammation	52891058
journalFiles:Journal of Perinatology	61
journalFiles:Public Health Genomics	2
journalFiles:Stem Cells International	232
journalBytes:Acta Crystallographica Section F: Structural Biology and Crystallization Communications	4702517
journalFiles:Frontiers in Systems Neuroscience	274
journalFiles:Rheumatology (Oxford, England)	158
journalFiles:Allergy	13
journalFiles:Sex Roles	23
journalBytes:International Journal of Vascular Medicine	3643613
journalFiles:Pediatric Nephrology (Berlin, Germany)	216
journalFiles:International Journal of Mass Spectrometry	3
journalBytes:Animal	120841
journalFiles:Current Drug Therapy	1
journalBytes:Molecular Immunology	1368308
journalFiles:Research in Veterinary Science	1
journalFiles:Journal of human hypertension	12
journalFiles:Journal of asthma and allergy	20
journalFiles:Ophthalmology	15
journalFiles:Trends in Endocrinology and Metabolism	2
journalBytes:Respiratory Research	61093206
journalBytes:European Journal of Pain (London, England)	1148932
journalBytes:Xenobiotica; the Fate of Foreign Compounds in Biological Systems	179679
journalFiles:Transboundary and Emerging Diseases	1
journalFiles:Advanced Synthesis & Catalysis	5
journalBytes:Current Opinion in Microbiology	437379
journalFiles:Retrovirology	3405
journalBytes:Journal of Luminescence	27518
journalFiles:RNA Biology	79
journalBytes:Journal of Electrocardiology	29368
journalFiles:Biomarker Insights	178
journalFiles:European Journal of Nuclear Medicine and Molecular Imaging	178
journalFiles:International Journal for Equity in Health	401
journalBytes:Spinal cord	419616
journalFiles:Journal of Signal Transduction	108
journalFiles:International Journal of Circumpolar Health	107
journalFiles:Computer Methods and Programs in Biomedicine	1
journalFiles:International Journal of Psychophysiology	8
journalBytes:The Journal of Applied Ecology	1434777
journalFiles:Therapeutic Advances in Hematology	1
journalBytes:Journal of Conservative Dentistry : JCD	6471633
journalFiles:BMC Research Notes	3339
journalFiles:Palliative Medicine	2
journalBytes:American Journal of Community Psychology	486414
journalBytes:New Ideas in Psychology	61417
journalFiles:Experimental Eye Research	19
journalFiles:Inorganica Chimica Acta	5
journalFiles:Preventive Medicine	3
journalFiles:Gerodontology	2
journalFiles:Frontiers in Neuroinformatics	150
journalFiles:The Journal of Forensic Psychiatry & Psychology	3
journalFiles:AAPS PharmSciTech	13
journalFiles:International Immunology	18
journalBytes:Child Indicators Research	372459
journalBytes:Cellular & molecular immunology	113014
journalBytes:Cell Biology International	33292
journalFiles:Alcohol and Alcoholism (Oxford, Oxfordshire)	23
journalFiles:Behaviour Research and Therapy	33
journalFiles:Pediatrics	1
journalFiles:Methods in Ecology and Evolution	5
journalBytes:Journal of Computer-Aided Molecular Design	2109250
journalFiles:Journal of Neurointerventional Surgery	5
journalFiles:Experimental Hematology & Oncology	50
journalBytes:Cell Proliferation	175506
journalBytes:Journal of Neurophysiology	3583019
journalBytes:Inorganica Chimica Acta	125709
journalFiles:Epidemiology and Infection	42
journalBytes:Human Movement Science	45398
journalFiles:Journal of Interprofessional Care	3
articleTypeFiles:correction	4776
journalFiles:Journal of Plankton Research	25
journalBytes:Journal of Aggression, Maltreatment & Trauma	47634
journalBytes:Current Enzyme Inhibition	44664
journalFiles:BMC Health Services Research	3357
journalFiles:Virology	23
journalFiles:Nature Methods	60
journalBytes:Journal of the Korean Surgical Society	5700904
journalFiles:Nature Chemical Biology	69
journalFiles:Inflammatory Bowel Diseases	6
journalFiles:Radiation Protection Dosimetry	4
journalBytes:Air Quality, Atmosphere, & Health	1807791
journalBytes:Carbohydrate Polymers	44353
journalFiles:Medical History	5668
journalFiles:Journal of Constructivist Psychology	2
journalFiles:Mycorrhiza	24
journalFiles:BMC Medical Imaging	190
journalBytes:Cardiovascular Pathology	24954
journalFiles:Saudi Journal of Gastroenterology : Official Journal of the Saudi Gastroenterology Association	423
journalFiles:Journal of Ophthalmology	197
journalFiles:Journal of Orofacial Orthopedics	1
journalFiles:Analytical and Bioanalytical Chemistry	280
journalFiles:Nutrients	332
journalBytes:Health Economics	120681
journalBytes:Clinical Pharmacokinetics	58004
journalBytes:Current Hematologic Malignancy Reports	208821
journalFiles:Oncogene	1180
journalBytes:Immunology and cell biology	957509
journalFiles:Physiotherapy Theory and Practice	1
journalBytes:Journal of Pharmaceutical and Biomedical Analysis	132320
journalBytes:Comparative Immunology, Microbiology and Infectious Diseases	64883
journalBytes:European Archives of Psychiatry and Clinical Neuroscience	2015739
journalBytes:Medical Gas Research	2330349
journalFiles:Nature Structural &#x00026; Molecular Biology	120
journalFiles:Acta Pharmacologica Sinica	3
journalFiles:BMJ quality & safety	76
journalFiles:Aging Cell	170
journalFiles:Endocrine-Related Cancer	33
journalFiles:European Journal of Protistology	6
journalFiles:Clinics in Chest Medicine	1
journalFiles:Journal of Rational-Emotive and Cognitive-Behavior Therapy	3
journalFiles:Indian Journal of Anaesthesia	666
journalFiles:Archives of Microbiology	37
journalBytes:The Laryngoscope	135020
journalFiles:Infection, Genetics and Evolution 	1
journalBytes:Social Work in Public Health	80366
journalBytes:Journal of Orthopaedics and Traumatology : Official Journal of the Italian Society of Orthopaedics and Traumatology	5566139
journalBytes:Molecular Biology and Evolution	51427630
journalFiles:The pharmacogenomics journal	1
journalBytes:Insectes Sociaux	407678
